"Dept.","Crs.Name","Sec.Min.Cred","Term","Year","Semester","Enroll.Cap","Enrolled","Start.Time","End.Time","Bldg","Csm.Room","Days","Division","Crs.Level"
"ART","ART-100",3,"15/FA",2015,"FA",16,17," 1:00 PM"," 4:10 PM","LANG","208","MW","HFA","100"
"ART","ART-100",3,"15/WI",2015,"WI",16,15," 10:20 AM"," 12:15 PM","LANG","208","MTWTH","HFA","100"
"ART","ART-100",3,"15/WI",2015,"WI",16,15," 1:20 PM"," 3:35 PM","LANG","208","MTWTH","HFA","100"
"ART","ART-100",3,"13/FA",2013,"FA",16,18," 2:10 PM"," 5:10 PM","LANG","208","MW","HFA","100"
"ART","ART-100",3,"13/SP",2013,"SP",16,13," 1:00 PM"," 4:10 PM","LANG","208","TTH","HFA","100"
"ART","ART-100",3,"14/FA",2014,"FA",16,17," 1:00 PM"," 4:00 PM","LANG","208","MW","HFA","100"
"ART","ART-100",3,"14/SP",2014,"SP",16,15," 1:00 PM"," 4:10 PM","LANG","208","TTH","HFA","100"
"ART","ART-100",3,"15/SP",2015,"SP",16,17," 1:00 PM"," 4:10 PM","LANG","208","TTH","HFA","100"
"ART","ART-100",3,"16/SP",2016,"SP",16,15," 8:00 AM"," 11:10 AM","LANG","108","TTH","HFA","100"
"ART","ART-100",3,"16/FA",2016,"FA",16,16," 8:00 AM"," 11:10 AM","LANG","208","TTH","HFA","100"
"ART","ART-100",3,"17/FA",2017,"FA",16,11," 1:00 PM"," 4:10 PM","LANG","208","MW","HFA","100"
"ART","ART-100",3,"17/SP",2017,"SP",16,14," 8:00 AM"," 11:00 AM","LANG","208","TTH","HFA","100"
"ART","ART-100",3,"18/SP",2018,"SP",16,15," 8:00 AM"," 11:10 AM","LANG","208","TTH","HFA","100"
"ART","ART-101",3,"13/SP",2013,"SP",16,17," 1:00 PM"," 3:05 PM","LANG","208","MWF","HFA","100"
"ART","ART-101",3,"14/SP",2014,"SP",16,18," 1:00 PM"," 3:05 PM","LANG","208","MWF","HFA","100"
"ART","ART-101",3,"16/SP",2016,"SP",16,17," 1:00 PM"," 3:05 PM","LANG","208","MWF","HFA","100"
"ART","ART-101",3,"17/SP",2017,"SP",16,20," 1:00 PM"," 3:05 PM","LANG","208","MWF","HFA","100"
"ART","ART-101",3,"18/SP",2018,"SP",12,19," 1:00 PM"," 3:05 PM","LANG","208","MWF","HFA","100"
"ART","ART-101",3,"15/SP",2015,"SP",16,15," 8:00 AM"," 11:10 AM","LANG","208","TTH","HFA","100"
"ART","ART-103",3,"13/SP",2013,"SP",14,15," 1:00 PM"," 4:10 PM","LANG","109","TTH","HFA","100"
"ART","ART-103",3,"14/SP",2014,"SP",14,13," 1:00 PM"," 4:10 PM","LANG","109","TTH","HFA","100"
