"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
416,0,3,"female",NA,0,0,"343095",8.05,"","S"
653,0,3,"male",21,0,0,"8475",8.4333,"","S"
440,0,2,"male",31,0,0,"C.A. 18723",10.5,"","S"
550,1,2,"male",8,1,1,"C.A. 33112",36.75,"","S"
370,1,1,"female",24,0,0,"PC 17477",69.3,"B35","C"
548,1,2,"male",NA,0,0,"SC/PARIS 2146",13.8625,"","C"
876,1,3,"female",15,0,0,"2667",7.225,"","C"
60,0,3,"male",11,5,2,"CA 2144",46.9,"","S"
408,1,2,"male",3,1,1,"29106",18.75,"","S"
551,1,1,"male",17,0,2,"17421",110.8833,"C70","C"
27,0,3,"male",NA,0,0,"2631",7.225,"","C"
766,1,1,"female",51,1,0,"13502",77.9583,"D11","S"
582,1,1,"female",39,1,1,"17421",110.8833,"C68","C"
157,1,3,"female",16,0,0,"35851",7.7333,"","Q"
483,0,3,"male",50,0,0,"A/5 3594",8.05,"","S"
319,1,1,"female",31,0,2,"36928",164.8667,"C7","S"
414,0,2,"male",NA,0,0,"239853",0,"","S"
511,1,3,"male",29,0,0,"382651",7.75,"","Q"
236,0,3,"female",NA,0,0,"W./C. 6609",7.55,"","S"
466,0,3,"male",38,0,0,"SOTON/O.Q. 3101306",7.05,"","S"
398,0,2,"male",46,0,0,"28403",26,"","S"
559,1,1,"female",39,1,1,"110413",79.65,"E67","S"
568,0,3,"female",29,0,4,"349909",21.075,"","S"
313,0,2,"female",26,1,1,"250651",26,"","S"
371,1,1,"male",25,1,0,"11765",55.4417,"E50","C"
869,0,3,"male",NA,0,0,"345777",9.5,"","S"
769,0,3,"male",NA,1,0,"371110",24.15,"","Q"
631,1,1,"male",80,0,0,"27042",30,"A23","S"
544,1,2,"male",32,1,0,"2908",26,"","S"
30,0,3,"male",NA,0,0,"349216",7.8958,"","S"
834,0,3,"male",23,0,0,"347468",7.8542,"","S"
648,1,1,"male",56,0,0,"13213",35.5,"A26","C"
37,1,3,"male",NA,0,0,"2677",7.2292,"","C"
64,0,3,"male",4,3,2,"347088",27.9,"","S"
460,0,3,"male",NA,0,0,"371060",7.75,"","Q"
170,0,3,"male",28,0,0,"1601",56.4958,"","S"
168,0,3,"female",45,1,4,"347088",27.9,"","S"
273,1,2,"female",41,0,1,"250644",19.5,"","S"
25,0,3,"female",8,3,1,"349909",21.075,"","S"
757,0,3,"male",28,0,0,"350042",7.7958,"","S"
353,0,3,"male",15,1,1,"2695",7.2292,"","C"
848,0,3,"male",35,0,0,"349213",7.8958,"","C"
856,1,3,"female",18,0,1,"392091",9.35,"","S"
665,1,3,"male",20,1,0,"STON/O 2. 3101285",7.925,"","S"
842,0,2,"male",16,0,0,"S.O./P.P. 3",10.5,"","S"
169,0,1,"male",NA,0,0,"PC 17318",25.925,"","S"
110,1,3,"female",NA,1,0,"371110",24.15,"","Q"
626,0,1,"male",61,0,0,"36963",32.3208,"D50","S"
715,0,2,"male",52,0,0,"250647",13,"","S"
108,1,3,"male",NA,0,0,"312991",7.775,"","S"
123,0,2,"male",32.5,1,0,"237736",30.0708,"","C"
437,0,3,"female",21,2,2,"W./C. 6608",34.375,"","S"
581,1,2,"female",25,1,1,"237789",30,"","S"
126,1,3,"male",12,1,0,"2651",11.2417,"","C"
211,0,3,"male",24,0,0,"SOTON/O.Q. 3101311",7.05,"","S"
445,1,3,"male",NA,0,0,"65306",8.1125,"","S"
257,1,1,"female",NA,0,0,"PC 17585",79.2,"","C"
888,1,1,"female",19,0,0,"112053",30,"B42","S"
18,1,2,"male",NA,0,0,"244373",13,"","S"
820,0,3,"male",10,3,2,"347088",27.9,"","S"
85,1,2,"female",17,0,0,"SO/C 14885",10.5,"","S"
401,1,3,"male",39,0,0,"STON/O 2. 3101289",7.925,"","S"
275,1,3,"female",NA,0,0,"370375",7.75,"","Q"
412,0,3,"male",NA,0,0,"394140",6.8583,"","Q"
500,0,3,"male",24,0,0,"350035",7.7958,"","S"
365,0,3,"male",NA,1,0,"370365",15.5,"","Q"
891,0,3,"male",32,0,0,"370376",7.75,"","Q"
325,0,3,"male",NA,8,2,"CA. 2343",69.55,"","S"
26,1,3,"female",38,1,5,"347077",31.3875,"","S"
640,0,3,"male",NA,1,0,"376564",16.1,"","S"
609,1,2,"female",22,1,2,"SC/Paris 2123",41.5792,"","C"
703,0,3,"female",18,0,1,"2691",14.4542,"","C"
119,0,1,"male",24,0,1,"PC 17558",247.5208,"B58 B60","C"
115,0,3,"female",17,0,0,"2627",14.4583,"","C"
176,0,3,"male",18,1,1,"350404",7.8542,"","S"
190,0,3,"male",36,0,0,"349247",7.8958,"","S"
345,0,2,"male",36,0,0,"229236",13,"","S"
97,0,1,"male",71,0,0,"PC 17754",34.6542,"A5","C"
545,0,1,"male",50,1,0,"PC 17761",106.425,"C86","C"
810,1,1,"female",33,1,0,"113806",53.1,"E8","S"
787,1,3,"female",18,0,0,"3101265",7.4958,"","S"
629,0,3,"male",26,0,0,"349224",7.8958,"","S"
516,0,1,"male",47,0,0,"36967",34.0208,"D46","S"
245,0,3,"male",30,0,0,"2694",7.225,"","C"
284,1,3,"male",19,0,0,"A/5. 10482",8.05,"","S"
730,0,3,"female",25,1,0,"STON/O2. 3101271",7.925,"","S"
723,0,2,"male",34,0,0,"12233",13,"","S"
502,0,3,"female",21,0,0,"364846",7.75,"","Q"
595,0,2,"male",37,1,0,"SC/AH 29037",26,"","S"
260,1,2,"female",50,0,1,"230433",26,"","S"
533,0,3,"male",17,1,1,"2690",7.2292,"","C"
134,1,2,"female",29,1,0,"228414",26,"","S"
577,1,2,"female",34,0,0,"243880",13,"","S"
451,0,2,"male",36,1,2,"C.A. 34651",27.75,"","S"
48,1,3,"female",NA,0,0,"14311",7.75,"","Q"
627,0,2,"male",57,0,0,"219533",12.35,"","Q"
441,1,2,"female",45,1,1,"F.C.C. 13529",26.25,"","S"
346,1,2,"female",24,0,0,"248733",13,"F33","S"
739,0,3,"male",NA,0,0,"349201",7.8958,"","S"
68,0,3,"male",19,0,0,"S.P. 3464",8.1583,"","S"
743,1,1,"female",21,2,2,"PC 17608",262.375,"B57 B59 B63 B66","C"
552,0,2,"male",27,0,0,"244358",26,"","S"
778,1,3,"female",5,0,0,"364516",12.475,"","S"
268,1,3,"male",25,1,0,"347083",7.775,"","S"
859,1,3,"female",24,0,3,"2666",19.2583,"","C"
518,0,3,"male",NA,0,0,"371110",24.15,"","Q"
99,1,2,"female",34,0,1,"231919",23,"","S"
356,0,3,"male",28,0,0,"345783",9.5,"","S"
837,0,3,"male",21,0,0,"315097",8.6625,"","S"
270,1,1,"female",35,0,0,"PC 17760",135.6333,"C99","S"
139,0,3,"male",16,0,0,"7534",9.2167,"","S"
863,1,1,"female",48,0,0,"17466",25.9292,"D17","S"
450,1,1,"male",52,0,0,"113786",30.5,"C104","S"
95,0,3,"male",59,0,0,"364500",7.25,"","S"
111,0,1,"male",47,0,0,"110465",52,"C110","S"
574,1,3,"female",NA,0,0,"14312",7.75,"","Q"
813,0,2,"male",35,0,0,"28206",10.5,"","S"
832,1,2,"male",0.83,1,1,"29106",18.75,"","S"
537,0,1,"male",45,0,0,"113050",26.55,"B38","S"
131,0,3,"male",33,0,0,"349241",7.8958,"","C"
151,0,2,"male",51,0,0,"S.O.P. 1166",12.525,"","S"
282,0,3,"male",28,0,0,"347464",7.8542,"","S"
304,1,2,"female",NA,0,0,"226593",12.35,"E101","Q"
531,1,2,"female",2,1,1,"26360",26,"","S"
222,0,2,"male",27,0,0,"220367",13,"","S"
828,1,2,"male",1,0,2,"S.C./PARIS 2079",37.0042,"","C"
826,0,3,"male",NA,0,0,"368323",6.95,"","Q"
881,1,2,"female",25,0,1,"230433",26,"","S"
477,0,2,"male",34,1,0,"31027",21,"","S"
586,1,1,"female",18,0,2,"110413",79.65,"E68","S"
729,0,2,"male",25,1,0,"236853",26,"","S"
187,1,3,"female",NA,1,0,"370365",15.5,"","Q"
435,0,1,"male",50,1,0,"13507",55.9,"E44","S"
744,0,3,"male",24,1,0,"376566",16.1,"","S"
822,1,3,"male",27,0,0,"315098",8.6625,"","S"
390,1,2,"female",17,0,0,"SC 1748",12,"","C"
509,0,3,"male",28,0,0,"C 4001",22.525,"","S"
513,1,1,"male",36,0,0,"PC 17473",26.2875,"E25","S"
782,1,1,"female",17,1,0,"17474",57,"B20","S"
850,1,1,"female",NA,1,0,"17453",89.1042,"C92","C"
375,0,3,"female",3,3,1,"349909",21.075,"","S"
425,0,3,"male",18,1,1,"370129",20.2125,"","S"
161,0,3,"male",44,0,1,"371362",16.1,"","S"
174,0,3,"male",21,0,0,"STON/O 2. 3101280",7.925,"","S"
296,0,1,"male",NA,0,0,"PC 17612",27.7208,"","C"
419,0,2,"male",30,0,0,"28228",13,"","S"
603,0,1,"male",NA,0,0,"113796",42.4,"","S"
791,0,3,"male",NA,0,0,"12460",7.75,"","Q"
75,1,3,"male",32,0,0,"1601",56.4958,"","S"
415,1,3,"male",44,0,0,"STON/O 2. 3101269",7.925,"","S"
764,1,1,"female",36,1,2,"113760",120,"B96 B98","S"
883,0,3,"female",22,0,0,"7552",10.5167,"","S"
51,0,3,"male",7,4,1,"3101295",39.6875,"","S"
750,0,3,"male",31,0,0,"335097",7.75,"","Q"
249,1,1,"male",37,1,1,"11751",52.5542,"D35","S"
751,1,2,"female",4,1,1,"29103",23,"","S"
580,1,3,"male",32,0,0,"STON/O 2. 3101286",7.925,"","S"
779,0,3,"male",NA,0,0,"36865",7.7375,"","Q"
65,0,1,"male",NA,0,0,"PC 17605",27.7208,"","C"
77,0,3,"male",NA,0,0,"349208",7.8958,"","S"
700,0,3,"male",42,0,0,"348121",7.65,"F G63","S"
189,0,3,"male",40,1,1,"364849",15.5,"","Q"
689,0,3,"male",18,0,0,"350036",7.7958,"","S"
56,1,1,"male",NA,0,0,"19947",35.5,"C52","S"
279,0,3,"male",7,4,1,"382652",29.125,"","Q"
612,0,3,"male",NA,0,0,"SOTON/O.Q. 3101305",7.05,"","S"
188,1,1,"male",45,0,0,"111428",26.55,"","S"
136,0,2,"male",23,0,0,"SC/PARIS 2133",15.0458,"","C"
704,0,3,"male",25,0,0,"36864",7.7417,"","Q"
389,0,3,"male",NA,0,0,"367655",7.7292,"","Q"
785,0,3,"male",25,0,0,"SOTON/O.Q. 3101312",7.05,"","S"
681,0,3,"female",NA,0,0,"330935",8.1375,"","Q"
439,0,1,"male",64,1,4,"19950",263,"C23 C25 C27","S"
426,0,3,"male",NA,0,0,"A/4. 34244",7.25,"","S"
165,0,3,"male",1,4,1,"3101295",39.6875,"","S"
564,0,3,"male",NA,0,0,"SOTON/OQ 392082",8.05,"","S"
525,0,3,"male",NA,0,0,"2700",7.2292,"","C"
553,0,3,"male",NA,0,0,"330979",7.8292,"","Q"
7,0,1,"male",54,0,0,"17463",51.8625,"E46","S"
91,0,3,"male",29,0,0,"343276",8.05,"","S"
42,0,2,"female",27,1,0,"11668",21,"","S"
588,1,1,"male",60,1,1,"13567",79.2,"B41","C"
851,0,3,"male",4,4,2,"347082",31.275,"","S"
678,1,3,"female",18,0,0,"4138",9.8417,"","S"
641,0,3,"male",20,0,0,"350050",7.8542,"","S"
636,1,2,"female",28,0,0,"237668",13,"","S"
503,0,3,"female",NA,0,0,"330909",7.6292,"","Q"
87,0,3,"male",16,1,3,"W./C. 6608",34.375,"","S"
630,0,3,"male",NA,0,0,"334912",7.7333,"","Q"
36,0,1,"male",42,1,0,"113789",52,"","S"
209,1,3,"female",16,0,0,"367231",7.75,"","Q"
399,0,2,"male",23,0,0,"244278",10.5,"","S"
524,1,1,"female",44,0,1,"111361",57.9792,"B18","C"
687,0,3,"male",14,4,1,"3101295",39.6875,"","S"
596,0,3,"male",36,1,1,"345773",24.15,"","S"
146,0,2,"male",19,1,1,"C.A. 33112",36.75,"","S"
342,1,1,"female",24,3,2,"19950",263,"C23 C25 C27","S"
333,0,1,"male",38,0,1,"PC 17582",153.4625,"C91","S"
238,1,2,"female",8,0,2,"C.A. 31921",26.25,"","S"
727,1,2,"female",30,3,0,"31027",21,"","S"
862,0,2,"male",21,1,0,"28134",11.5,"","S"
685,0,2,"male",60,1,1,"29750",39,"","S"
81,0,3,"male",22,0,0,"345767",9,"","S"
178,0,1,"female",50,0,0,"PC 17595",28.7125,"C49","C"
649,0,3,"male",NA,0,0,"S.O./P.P. 751",7.55,"","S"
55,0,1,"male",65,0,1,"113509",61.9792,"B30","C"
216,1,1,"female",31,1,0,"35273",113.275,"D36","C"
405,0,3,"female",20,0,0,"315096",8.6625,"","S"
561,0,3,"male",NA,0,0,"372622",7.75,"","Q"
203,0,3,"male",34,0,0,"3101264",6.4958,"","S"
